X,Cotangent
-8,000000;-0,147066
-7,900000;-0,046053
-7,800000;-0,054035
-7,700000;-0,155210
-7,600000;-0,259588
-7,500000;-0,369547
-7,400000;-0,487975
-7,300000;-0,618597
-7,200000;-0,766506
-7,100000;-0,939061
-7,000000;-1,147515
-6,900000;-1,410216
-6,800000;-1,759510
-6,700000;-2,258573
-6,600000;-3,050101
-6,500000;-4,539734
-6,400000;-8,521593
-6,300000;-59,466192
-6,200000;11,993612
-6,100000;5,397754
-6,000000;3,436353
-5,900000;2,480707
-5,800000;1,905974
-5,700000;1,515770
-5,600000;1,228587
-5,500000;1,004436
-5,400000;0,821328
-5,300000;0,666101
-5,200000;0,530323
-5,100000;0,408265
-5,000000;0,295813
-4,900000;0,189844
-4,800000;0,087836
-4,700000;0,012395
-4,600000;0,112866
-4,500000;0,215643
-4,400000;0,322966
-4,300000;0,437474
-4,200000;0,562499
-4,100000;0,702481
-4,000000;0,863691
-3,900000;1,055492
-3,800000;1,292729
-3,700000;1,600679
-3,600000;2,026479
-3,500000;2,669617
-3,400000;3,783340
-3,300000;6,259961
-3,200000;17,101826
-3,100000;-24,029199
-3,000000;-7,015270
-2,900000;-4,058356
-2,800000;-2,812705
-2,700000;-2,115383
-2,600000;-1,662238
-2,500000;-1,338646
-2,400000;-1,091685
-2,300000;-0,893484
-2,200000;-0,727896
-2,100000;-0,584848
-2,000000;-0,457657
-1,900000;-0,341638
-1,800000;-0,233305
-1,700000;-0,129929
-1,600000;-0,029214
-1,500000;-0,070915
-1,400000;-0,172477
-1,300000;-0,277616
-1,200000;-0,388779
-1,100000;-0,508968
-1,000000;-0,642093
-0,900000;-0,793551
-0,800000;-0,971215
-0,700000;-1,187242
-0,600000;-1,461696
-0,500000;-1,830488
-0,400000;-2,365222
-0,300000;-3,232728
-0,200000;-4,933155
-0,100000;-9,966644
-0,000000;-85579090306327,720000
0,100000;9,966644
0,200000;4,933155
0,300000;3,232728
0,400000;2,365222
0,500000;1,830488
0,600000;1,461696
0,700000;1,187242
0,800000;0,971215
0,900000;0,793551
1,000000;0,642093
1,100000;0,508968
1,200000;0,388779
1,300000;0,277616
1,400000;0,172477
1,500000;0,070915
1,600000;0,029214
1,700000;0,129929
1,800000;0,233305
1,900000;0,341638
2,000000;0,457657
2,100000;0,584848
2,200000;0,727896
2,300000;0,893484
2,400000;1,091685
2,500000;1,338646
2,600000;1,662238
2,700000;2,115383
2,800000;2,812705
2,900000;4,058356
3,000000;7,015270
3,100000;24,029199
3,200000;-17,101826
3,300000;-6,259961
3,400000;-3,783340
3,500000;-2,669617
3,600000;-2,026479
3,700000;-1,600679
3,800000;-1,292729
3,900000;-1,055492
4,000000;-0,863691
4,100000;-0,702481
4,200000;-0,562499
4,300000;-0,437474
4,400000;-0,322966
4,500000;-0,215643
4,600000;-0,112866
4,700000;-0,012395
4,800000;-0,087836
4,900000;-0,189844
5,000000;-0,295813
5,100000;-0,408265
5,200000;-0,530323
5,300000;-0,666101
5,400000;-0,821328
5,500000;-1,004436
5,600000;-1,228587
5,700000;-1,515770
5,800000;-1,905974
5,900000;-2,480707
6,000000;-3,436353
6,100000;-5,397754
6,200000;-11,993612
6,300000;59,466192
6,400000;8,521593
6,500000;4,539734
6,600000;3,050101
6,700000;2,258573
6,800000;1,759510
6,900000;1,410216
7,000000;1,147515
7,100000;0,939061
7,200000;0,766506
7,300000;0,618597
7,400000;0,487975
7,500000;0,369547
7,600000;0,259588
7,700000;0,155210
7,800000;0,054035
7,900000;0,046053
8,000000;0,147066
