X,EquationSystem
-5,050000;-1,722194
-4,950000;-3,034114
-4,850000;-6,160799
-4,750000;-25,556527
-4,650000;-14,977965
-4,550000;-5,034458
-4,450000;-2,620426
-4,350000;-1,502985
-4,250000;-0,826909
-4,150000;-0,295628
-4,050000;0,401567
-3,950000;2,236090
-3,850000;9,680891
-3,750000;47,679240
-3,650000;290,598918
-3,550000;2432,629234
-3,450000;34208,157532
-3,350000;1262179,091205
-3,250000;475120943,709498
-3,150000;4768335845670074400,000000
-3,050000;-2176684441,005004
-2,950000;-2719053,918902
-2,850000;-57571,810823
-2,750000;-3632,872022
-2,650000;-406,976648
-2,550000;-65,931889
-2,450000;-15,105067
-2,350000;-5,699949
-2,250000;-3,765220
-2,150000;-3,451416
-2,050000;-3,603982
-1,950000;-4,033827
-1,850000;-4,877148
-1,750000;-6,775354
-1,650000;-13,714909
-1,550000;-49,104206
-1,450000;-9,412657
-1,350000;-5,766387
-1,250000;-4,454198
-1,150000;-3,818913
-1,050000;-3,505389
-0,950000;-3,496165
-0,850000;-4,228822
-0,750000;-7,952022
-0,650000;-26,551724
-0,550000;-135,171938
-0,450000;-960,051078
-0,350000;-10488,587762
-0,250000;-238263,108858
-0,150000;-25143270,574009
-0,050000;-510082159864,640800
0,050000;11,030300
0,150000;-2,021552
0,250000;-1,915877
0,350000;-1,254126
0,450000;-0,744219
0,550000;-0,408835
0,650000;-0,202796
0,750000;-0,084931
0,850000;-0,025110
0,950000;-0,002289
1,050000;-0,001872
1,150000;-0,013706
1,250000;-0,030695
1,350000;-0,047862
1,450000;-0,061716
1,550000;-0,069818
1,650000;-0,070481
1,750000;-0,062567
1,850000;-0,045325
1,950000;-0,018298
2,050000;0,018808
2,150000;0,066013
2,250000;0,123328
2,350000;0,190646
2,450000;0,267810
2,550000;0,354615
2,650000;0,450798
2,750000;0,556166
2,850000;0,670361
2,950000;0,793238
3,050000;0,924392
3,150000;1,063530
3,250000;1,210506
3,350000;1,365130
3,450000;1,526726
3,550000;1,695655
3,650000;1,870917
3,750000;2,053156
3,850000;2,241448
3,950000;2,435404
4,050000;2,635929
4,150000;2,841695
4,250000;3,052880
4,350000;3,269297
4,450000;3,490756
4,550000;3,717084
4,650000;3,948083
4,750000;4,183617
4,850000;4,423544
4,950000;4,667681
5,050000;4,915898
5,150000;5,167987
5,250000;5,423899
5,350000;5,683463
5,450000;5,946715
5,550000;6,213321
5,650000;6,483051
5,750000;6,756068
5,850000;7,032438
5,950000;7,311422
6,050000;7,593394
6,150000;7,878525
6,250000;8,165789
6,350000;8,456242
6,450000;8,748616
6,550000;9,044134
6,650000;9,341191
6,750000;9,641037
6,850000;9,943620
6,950000;10,247832
7,050000;10,553451
7,150000;10,862371
7,250000;11,171890
7,350000;11,484829
7,450000;11,798840
7,550000;12,114656
7,650000;12,431122
7,750000;12,750240
7,850000;13,070938
7,950000;13,393240
8,050000;13,718368
8,150000;14,043698
8,250000;14,370456
8,350000;14,698596
8,450000;15,028076
8,550000;15,358862
8,650000;15,690905
8,750000;16,024170
8,850000;16,358622
8,950000;16,694225
9,050000;17,030946
9,150000;17,368706
9,250000;17,707537
9,350000;18,047380
9,450000;18,388203
9,550000;18,729973
9,650000;19,072660
9,750000;19,416348
9,850000;19,760831
9,950000;20,106161
