X,LogarithmicEquation
1,100000;-0,006760
1,200000;-0,021908
1,300000;-0,039503
1,400000;-0,055375
1,500000;-0,066605
1,600000;-0,071161
1,700000;-0,067652
1,800000;-0,055147
1,900000;-0,033034
2,000000;-0,000994
2,100000;0,041143
2,200000;0,093412
2,300000;0,155745
2,400000;0,228007
2,500000;0,310021
2,600000;0,401544
2,700000;0,502360
2,800000;0,612165
2,900000;0,730750
3,000000;0,857740
3,100000;0,993031
3,200000;1,136171
3,300000;1,286849
3,400000;1,444964
3,500000;1,610224
3,600000;1,782357
3,700000;1,961121
3,800000;2,146532
3,900000;2,337525
4,000000;2,535142
4,100000;2,738122
4,200000;2,946623
4,300000;3,160448
4,400000;3,379407
4,500000;3,603322
4,600000;3,832002
4,700000;4,065295
4,800000;4,303029
4,900000;4,545094
5,000000;4,791288
5,100000;5,041495
5,200000;5,295478
5,300000;5,553233
5,400000;5,814696
5,500000;6,079594
5,600000;6,347725
5,700000;6,619171
5,800000;6,893950
5,900000;7,171682
6,000000;7,452058
6,100000;7,735721
6,200000;8,022020
6,300000;8,310492
6,400000;8,602339
6,500000;8,895817
6,600000;9,192219
6,700000;9,491308
6,800000;9,791678
6,900000;10,094795
7,000000;10,399989
7,100000;10,708010
7,200000;11,016528
7,300000;11,327701
7,400000;11,640800
7,500000;11,956503
7,600000;12,273176
7,700000;12,591544
7,800000;12,910397
7,900000;13,231903
8,000000;13,556252
8,100000;13,880852
8,200000;14,206901
8,300000;14,534356
8,400000;14,863171
8,500000;15,193305
8,600000;15,524728
8,700000;15,857387
8,800000;16,191250
8,900000;16,526282
9,000000;16,862448
9,100000;17,199715
9,200000;17,537993
9,300000;17,877334
9,400000;18,217671
9,500000;18,558972
9,600000;18,901204
9,700000;19,244431
9,800000;19,588482
9,900000;19,933392
10,000000;20,279136
