X,NaturalLogarithm
0,001000;-5,098749
0,101000;-2,287697
0,201000;-1,603619
0,301000;-1,200382
0,401000;-0,913669
0,501000;-0,691112
0,601000;-0,509144
0,701000;-0,355236
0,801000;-0,221892
0,901000;-0,104250
1,001000;0,001000
1,101000;0,096219
1,201000;0,183153
1,301000;0,263131
1,401000;0,337183
1,501000;0,406125
1,601000;0,470640
1,701000;0,531227
1,801000;0,588323
1,901000;0,642402
2,001000;0,693672
2,101000;0,742438
2,201000;0,788937
2,301000;0,833369
2,401000;0,875909
2,501000;0,916717
2,601000;0,955919
2,701000;0,993649
2,801000;1,029999
2,901000;1,065085
3,001000;1,098964
3,101000;1,131761
3,201000;1,163500
3,301000;1,194241
3,401000;1,224105
3,501000;1,253086
3,601000;1,281218
3,701000;1,308611
3,801000;1,335310
3,901000;1,361280
4,001000;1,386594
4,101000;1,411281
4,201000;1,435373
4,301000;1,458898
4,401000;1,481882
4,501000;1,504350
4,601000;1,526323
4,701000;1,547825
4,801000;1,568873
4,901000;1,589490
5,001000;1,609689
5,101000;1,629490
5,201000;1,648899
5,301000;1,667942
5,401000;1,686636
5,501000;1,704984
5,601000;1,722992
5,701000;1,740686
5,801000;1,758084
5,901000;1,775180
6,001000;1,791970
6,101000;1,808509
6,201000;1,824772
6,301000;1,840748
6,401000;1,856516
6,501000;1,871993
6,601000;1,887262
6,701000;1,902319
6,801000;1,917130
6,901000;1,931700
7,001000;1,946116
7,101000;1,960302
7,201000;1,974252
7,301000;1,988042
7,401000;2,001648
7,501000;2,015105
7,601000;2,028350
7,701000;2,041423
7,801000;2,054279
7,901000;2,067016
8,001000;2,079642
8,101000;2,092063
8,201000;2,104331
8,301000;2,116451
8,401000;2,128426
8,501000;2,140259
8,601000;2,151953
8,701000;2,163513
8,801000;2,174941
8,901000;2,186239
9,001000;2,197411
9,101000;2,208460
9,201000;2,219387
9,301000;2,230197
9,401000;2,240890
9,501000;2,251471
9,601000;2,261941
9,701000;2,272304
9,801000;2,282560
9,901000;2,292712
10,001000;2,302762
10,101000;2,312712
10,201000;2,322564
10,301000;2,332315
10,401000;2,341975
10,501000;2,351543
10,601000;2,361020
10,701000;2,370407
10,801000;2,379716
10,901000;2,388932
11,001000;2,398065
11,101000;2,407116
11,201000;2,416075
11,301000;2,424962
11,401000;2,433771
11,501000;2,442502
11,601000;2,451170
11,701000;2,459755
11,801000;2,468267
11,901000;2,476693
12,001000;2,485059
12,101000;2,493354
12,201000;2,501599
12,301000;2,509764
12,401000;2,517863
12,501000;2,525876
12,601000;2,533840
12,701000;2,541764
12,801000;2,549610
12,901000;2,557371
13,001000;2,565089
13,101000;2,572774
13,201000;2,580358
13,301000;2,587901
13,401000;2,595416
13,501000;2,602828
13,601000;2,610229
13,701000;2,617559
13,801000;2,624800
13,901000;2,632052
