X,Secant
-8,000000;6,872793
-7,900000;21,737286
-7,800000;18,533592
-7,700000;6,520012
-7,600000;3,979943
-7,500000;2,884881
-7,400000;2,280256
-7,300000;1,900861
-7,200000;1,643787
-7,100000;1,460821
-7,000000;1,326432
-6,900000;1,225903
-6,800000;1,150222
-6,700000;1,093633
-6,600000;1,052374
-6,500000;1,023974
-6,400000;1,006862
-6,300000;1,000141
-6,200000;1,003470
-6,100000;1,017016
-6,000000;1,041482
-5,900000;1,078192
-5,800000;1,129281
-5,700000;1,198017
-5,600000;1,289381
-5,500000;1,411094
-5,400000;1,575565
-5,300000;1,803835
-5,200000;2,134396
-5,100000;2,645661
-5,000000;3,525320
-4,900000;5,361573
-4,800000;11,428664
-4,700000;80,686216
-4,600000;8,916331
-4,500000;4,743897
-4,400000;3,253782
-4,300000;2,495015
-4,200000;2,039731
-4,100000;1,739663
-4,000000;1,529886
-3,900000;1,377540
-3,800000;1,264275
-3,700000;1,179107
-3,600000;1,115127
-3,500000;1,067855
-3,400000;1,034342
-3,300000;1,012679
-3,200000;1,001708
-3,100000;1,000866
-3,000000;1,010109
-2,900000;1,029910
-2,800000;1,061321
-2,700000;1,106106
-2,600000;1,167014
-2,500000;1,248216
-2,400000;1,356128
-2,300000;1,500880
-2,200000;1,699233
-2,100000;1,980802
-2,000000;2,402998
-1,900000;3,093184
-1,800000;4,401341
-1,700000;7,761221
-1,600000;34,244267
-1,500000;14,136746
-1,400000;5,883488
-1,300000;3,738334
-1,200000;2,759707
-1,100000;2,204605
-1,000000;1,850816
-0,900000;1,608726
-0,800000;1,435324
-0,700000;1,307459
-0,600000;1,211628
-0,500000;1,139494
-0,400000;1,085704
-0,300000;1,046752
-0,200000;1,020339
-0,100000;1,005021
-0,000000;1,000000
0,100000;1,005021
0,200000;1,020339
0,300000;1,046752
0,400000;1,085704
0,500000;1,139494
0,600000;1,211628
0,700000;1,307459
0,800000;1,435324
0,900000;1,608726
1,000000;1,850816
1,100000;2,204605
1,200000;2,759707
1,300000;3,738334
1,400000;5,883488
1,500000;14,136746
1,600000;34,244267
1,700000;7,761221
1,800000;4,401341
1,900000;3,093184
2,000000;2,402998
2,100000;1,980802
2,200000;1,699233
2,300000;1,500880
2,400000;1,356128
2,500000;1,248216
2,600000;1,167014
2,700000;1,106106
2,800000;1,061321
2,900000;1,029910
3,000000;1,010109
3,100000;1,000866
3,200000;1,001708
3,300000;1,012679
3,400000;1,034342
3,500000;1,067855
3,600000;1,115127
3,700000;1,179107
3,800000;1,264275
3,900000;1,377540
4,000000;1,529886
4,100000;1,739663
4,200000;2,039731
4,300000;2,495015
4,400000;3,253782
4,500000;4,743897
4,600000;8,916331
4,700000;80,686216
4,800000;11,428664
4,900000;5,361573
5,000000;3,525320
5,100000;2,645661
5,200000;2,134396
5,300000;1,803835
5,400000;1,575565
5,500000;1,411094
5,600000;1,289381
5,700000;1,198017
5,800000;1,129281
5,900000;1,078192
6,000000;1,041482
6,100000;1,017016
6,200000;1,003470
6,300000;1,000141
6,400000;1,006862
6,500000;1,023974
6,600000;1,052374
6,700000;1,093633
6,800000;1,150222
6,900000;1,225903
7,000000;1,326432
7,100000;1,460821
7,200000;1,643787
7,300000;1,900861
7,400000;2,280256
7,500000;2,884881
7,600000;3,979943
7,700000;6,520012
7,800000;18,533592
7,900000;21,737286
8,000000;6,872793
