X,TrigonometricEquation
-5,000000;-2,269823
-4,900000;-4,189227
-4,800000;-10,344663
-4,700000;-79,673898
-4,600000;-7,809773
-4,500000;-3,550617
-4,400000;-1,977897
-4,300000;-1,132259
-4,200000;-0,557813
-4,100000;0,000428
-4,000000;1,048245
-3,900000;4,615890
-3,800000;21,015041
-3,700000;114,034510
-3,600000;800,549808
-3,500000;8388,399442
-3,400000;175743,156200
-3,300000;15330625,630694
-3,200000;125778334222,746080
-3,100000;-2677816535679,814500
-3,000000;-42413498,602226
-2,900000;-326254,887555
-2,800000;-13176,362193
-2,700000;-1151,518296
-2,600000;-157,325511
-2,500000;-30,030158
-2,400000;-8,615878
-2,300000;-4,366996
-2,200000;-3,517061
-2,100000;-3,491076
-2,000000;-3,782175
-1,900000;-4,382997
-1,800000;-5,608668
-1,700000;-8,882820
-1,600000;-35,273055
-1,500000;-15,205156
-1,400000;-7,041442
-1,300000;-4,980019
-1,200000;-4,084790
-1,100000;-3,629339
-1,000000;-3,451996
-0,900000;-3,705145
-0,800000;-5,397352
-0,700000;-13,613513
-0,600000;-57,415831
-0,500000;-344,828939
-0,400000;-2968,553765
-0,300000;-44228,120735
-0,200000;-1838050,624115
-0,100000;-985067491,248227
-0,000000;-787104394401385000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,000000
